id,modulo,resposta_correta
394,Lei nº 13675 de 2018,D
395,Lei nº 13675 de 2018,D
396,Lei nº 13675 de 2018,C
397,Lei nº 13675 de 2018,B
398,Lei nº 13675 de 2018,D
399,Lei nº 13675 de 2018,C
400,Lei nº 13675 de 2018,B
401,Lei nº 13675 de 2018,D
402,Lei nº 13675 de 2018,B
403,Lei nº 13675 de 2018,B
404,Lei nº 13675 de 2018,D
405,Lei nº 13675 de 2018,C
406,Lei nº 13675 de 2018,B
407,Lei nº 13675 de 2018,C
408,Lei nº 13675 de 2018,A
409,Lei nº 13675 de 2018,A
410,Lei nº 13675 de 2018,D
411,Lei nº 13675 de 2018,D
412,Lei nº 13675 de 2018,D
413,Lei nº 13675 de 2018,A
414,Lei nº 13675 de 2018,D
415,Lei nº 13675 de 2018,B
416,Lei nº 13675 de 2018,C
417,Lei nº 13675 de 2018,B
418,Lei nº 13675 de 2018,D
419,Lei nº 13675 de 2018,D
420,Lei nº 13675 de 2018,C
421,Lei nº 13675 de 2018,D
422,Lei nº 13675 de 2018,A
423,Lei nº 13675 de 2018,D
424,Lei nº 13675 de 2018,D
425,Lei nº 13675 de 2018,B
426,Lei nº 13675 de 2018,D
427,Lei nº 13675 de 2018,D
428,Lei nº 13675 de 2018,A
429,Lei nº 13675 de 2018,C
430,Lei nº 13675 de 2018,C
431,Lei nº 13675 de 2018,A
432,Lei nº 13675 de 2018,B
433,Lei nº 13675 de 2018,A
434,Lei nº 13675 de 2018,D
435,Lei nº 13675 de 2018,B
436,Lei nº 13675 de 2018,B
437,Lei nº 13675 de 2018,C
438,Lei nº 13675 de 2018,B
439,Lei nº 13675 de 2018,B
440,Lei nº 13675 de 2018,D
441,Lei nº 13675 de 2018,D
442,Lei nº 13675 de 2018,B
443,Lei nº 13675 de 2018,C
444,Lei nº 13675 de 2018,C
445,Lei nº 13675 de 2018,C
446,Lei nº 13675 de 2018,D
447,Lei nº 13675 de 2018,B
448,Lei nº 13675 de 2018,A
449,Lei nº 13675 de 2018,C
450,Lei nº 13675 de 2018,D
451,Lei nº 13675 de 2018,D
452,Lei nº 13675 de 2018,D
453,Lei nº 13675 de 2018,C
454,Lei nº 13675 de 2018,D
455,Lei nº 13675 de 2018,B
456,Lei nº 13675 de 2018,C
457,Lei nº 13675 de 2018,C
458,Lei nº 13675 de 2018,C
459,Lei nº 13675 de 2018,D
460,Lei nº 13675 de 2018,D
461,Lei nº 13675 de 2018,D
462,Lei nº 13675 de 2018,B
463,Lei nº 13675 de 2018,B
464,Lei nº 13675 de 2018,A
465,Lei nº 13675 de 2018,C
466,Lei nº 13675 de 2018,B
467,Lei nº 13675 de 2018,D
468,Lei nº 13675 de 2018,B
469,Lei nº 13675 de 2018,C
470,Lei nº 13675 de 2018,C
471,Lei nº 13675 de 2018,D
472,Lei nº 13675 de 2018,A
473,Lei nº 13675 de 2018,C
474,Lei nº 13675 de 2018,D
475,Lei nº 13675 de 2018,D
476,Lei nº 13675 de 2018,D
477,Lei nº 13675 de 2018,B
478,Lei nº 13675 de 2018,D
479,Lei nº 13675 de 2018,B
480,Lei nº 13675 de 2018,B
481,Lei nº 13675 de 2018,D
482,Lei nº 13675 de 2018,A
483,Lei nº 13675 de 2018,A
484,Lei nº 13675 de 2018,C
485,Lei nº 13675 de 2018,B
486,Lei nº 13675 de 2018,C
487,Lei nº 13675 de 2018,D
488,Lei nº 13675 de 2018,A
489,Lei nº 13675 de 2018,D
490,Lei nº 13675 de 2018,C
491,Lei nº 13675 de 2018,C
492,Lei nº 13675 de 2018,C
493,Lei nº 13675 de 2018,D
494,Lei nº 13675 de 2018,D
495,Lei nº 13675 de 2018,C
496,Lei nº 13675 de 2018,C
497,Lei nº 13675 de 2018,B
498,Lei nº 13675 de 2018,B
499,Lei nº 13675 de 2018,B
500,Lei nº 13675 de 2018,C
501,Lei nº 13675 de 2018,D
502,Lei nº 13675 de 2018,B
503,Lei nº 13675 de 2018,B
504,Lei nº 13675 de 2018,A
505,Lei nº 13675 de 2018,B
506,Lei nº 13675 de 2018,C
507,Lei nº 13675 de 2018,B
508,Lei nº 13675 de 2018,A
509,Lei nº 13675 de 2018,C
510,Lei nº 13675 de 2018,C
511,Lei nº 13675 de 2018,C
512,Lei nº 13675 de 2018,C
513,Lei nº 13675 de 2018,D
514,Lei nº 13675 de 2018,D
515,Lei nº 13675 de 2018,A
516,Lei nº 13675 de 2018,A
517,Lei nº 13675 de 2018,B
518,Lei nº 13675 de 2018,D
519,Lei nº 13675 de 2018,B
520,Lei nº 13675 de 2018,A
521,Lei nº 13675 de 2018,C
522,Lei nº 13675 de 2018,A
523,Lei nº 13675 de 2018,D
524,Lei nº 13675 de 2018,A
525,Lei nº 13675 de 2018,C
526,Lei nº 13675 de 2018,B
527,Lei nº 13675 de 2018,B
528,Lei nº 13675 de 2018,A
529,Lei nº 13675 de 2018,C
530,Lei nº 13675 de 2018,A
531,Lei nº 13675 de 2018,A
532,Lei nº 13675 de 2018,D
533,Lei nº 13675 de 2018,C
534,Lei nº 13675 de 2018,D
535,Lei nº 13675 de 2018,C
536,Lei nº 13675 de 2018,B
537,Lei nº 13675 de 2018,C
538,Lei nº 13675 de 2018,B
539,Lei nº 13675 de 2018,C
540,Lei nº 13675 de 2018,A
541,Lei nº 13675 de 2018,B
542,Lei nº 13675 de 2018,B
543,Lei nº 13675 de 2018,B
544,Lei nº 13675 de 2018,B
545,Lei nº 13675 de 2018,B
546,Lei nº 13675 de 2018,D
547,Lei nº 13675 de 2018,A
548,Lei nº 13675 de 2018,B
549,Lei nº 13675 de 2018,A
550,Lei nº 13675 de 2018,C
551,Lei nº 13675 de 2018,B
552,Lei nº 13675 de 2018,D
553,Lei nº 13675 de 2018,C
554,Lei nº 13675 de 2018,C
555,Lei nº 13675 de 2018,A
556,Lei nº 13675 de 2018,C
557,Lei nº 13675 de 2018,A
558,Lei nº 13675 de 2018,A
559,Lei nº 13675 de 2018,B
560,Lei nº 13675 de 2018,D
561,Lei nº 13675 de 2018,C
562,Lei nº 13675 de 2018,C
563,Lei nº 13675 de 2018,D
564,Lei nº 13675 de 2018,C
565,Lei nº 13675 de 2018,C
566,Lei nº 13675 de 2018,D
567,Lei nº 13675 de 2018,D
568,Lei nº 13675 de 2018,D
569,Lei nº 13675 de 2018,B
570,Lei nº 13675 de 2018,C
571,Lei nº 13675 de 2018,D
572,Lei nº 13675 de 2018,D
573,Lei nº 13675 de 2018,A
574,Lei nº 13675 de 2018,B
575,Lei nº 13675 de 2018,A
576,Lei nº 13675 de 2018,B
577,Lei nº 13675 de 2018,C
578,Lei nº 13675 de 2018,D
579,Lei nº 13675 de 2018,C
580,Lei nº 13675 de 2018,A
581,Lei nº 13675 de 2018,A
582,Lei nº 13675 de 2018,D
583,Lei nº 13675 de 2018,D
584,Lei nº 13675 de 2018,B
585,Lei nº 13675 de 2018,B
586,Lei nº 13675 de 2018,D
587,Lei nº 13675 de 2018,B
588,Lei nº 13675 de 2018,D
589,Lei nº 13675 de 2018,A
590,Lei nº 13675 de 2018,D
591,Lei nº 13675 de 2018,A
592,Lei nº 13675 de 2018,C
593,Lei nº 13675 de 2018,B
594,Lei nº 13675 de 2018,A
595,Lei nº 13675 de 2018,A
596,Lei nº 13675 de 2018,B
597,Lei nº 13675 de 2018,D
598,Lei nº 13675 de 2018,B
599,Lei nº 13675 de 2018,B
600,Lei nº 13675 de 2018,B
601,Estatuto Geral das Guardas Municipais,C
602,Estatuto Geral das Guardas Municipais,C
603,Estatuto Geral das Guardas Municipais,A
604,Estatuto Geral das Guardas Municipais,B
605,Estatuto Geral das Guardas Municipais,B
606,Estatuto Geral das Guardas Municipais,D
607,Estatuto Geral das Guardas Municipais,D
608,Estatuto Geral das Guardas Municipais,B
609,Estatuto Geral das Guardas Municipais,C
610,Estatuto Geral das Guardas Municipais,A
611,Estatuto Geral das Guardas Municipais,B
612,Estatuto Geral das Guardas Municipais,C
613,Estatuto Geral das Guardas Municipais,C
614,Estatuto Geral das Guardas Municipais,D
615,Estatuto Geral das Guardas Municipais,D
616,Estatuto Geral das Guardas Municipais,B
617,Estatuto Geral das Guardas Municipais,D
618,Estatuto Geral das Guardas Municipais,B
619,Estatuto Geral das Guardas Municipais,B
620,Estatuto Geral das Guardas Municipais,D
621,Estatuto Geral das Guardas Municipais,B
622,Estatuto Geral das Guardas Municipais,A
623,Estatuto Geral das Guardas Municipais,B
624,Estatuto Geral das Guardas Municipais,A
625,Estatuto Geral das Guardas Municipais,B
626,Estatuto Geral das Guardas Municipais,A
627,Estatuto Geral das Guardas Municipais,D
628,Estatuto Geral das Guardas Municipais,A
629,Estatuto Geral das Guardas Municipais,D
630,Estatuto Geral das Guardas Municipais,D
631,Estatuto Geral das Guardas Municipais,D
632,Estatuto Geral das Guardas Municipais,C
633,Estatuto Geral das Guardas Municipais,B
634,Estatuto Geral das Guardas Municipais,A
635,Estatuto Geral das Guardas Municipais,A
636,Estatuto Geral das Guardas Municipais,D
637,Estatuto Geral das Guardas Municipais,C
638,Estatuto Geral das Guardas Municipais,D
639,Estatuto Geral das Guardas Municipais,B
640,Estatuto Geral das Guardas Municipais,D
641,Estatuto Geral das Guardas Municipais,A
642,Estatuto Geral das Guardas Municipais,D
643,Estatuto Geral das Guardas Municipais,A
644,Estatuto Geral das Guardas Municipais,A
645,Estatuto Geral das Guardas Municipais,D
646,Estatuto Geral das Guardas Municipais,C
647,Estatuto Geral das Guardas Municipais,D
648,Estatuto Geral das Guardas Municipais,C
649,Estatuto Geral das Guardas Municipais,B
650,Estatuto Geral das Guardas Municipais,C
651,Estatuto Geral das Guardas Municipais,B
652,Estatuto Geral das Guardas Municipais,C
653,Estatuto Geral das Guardas Municipais,A
654,Estatuto Geral das Guardas Municipais,C
655,Estatuto Geral das Guardas Municipais,C
656,Estatuto Geral das Guardas Municipais,B
657,Estatuto Geral das Guardas Municipais,D
658,Estatuto Geral das Guardas Municipais,C
659,Estatuto Geral das Guardas Municipais,A
660,Estatuto Geral das Guardas Municipais,C
661,Estatuto Geral das Guardas Municipais,B
662,Estatuto Geral das Guardas Municipais,C
663,Estatuto Geral das Guardas Municipais,C
664,Estatuto Geral das Guardas Municipais,D
665,Estatuto Geral das Guardas Municipais,D
666,Estatuto Geral das Guardas Municipais,B
667,Estatuto Geral das Guardas Municipais,B
668,Estatuto Geral das Guardas Municipais,A
669,Estatuto Geral das Guardas Municipais,C
670,Estatuto Geral das Guardas Municipais,C
671,Estatuto Geral das Guardas Municipais,A
672,Estatuto Geral das Guardas Municipais,D
673,Estatuto Geral das Guardas Municipais,C
674,Estatuto Geral das Guardas Municipais,B
675,Estatuto Geral das Guardas Municipais,A
676,Estatuto Geral das Guardas Municipais,C
677,Estatuto Geral das Guardas Municipais,C
678,Estatuto Geral das Guardas Municipais,A
679,Estatuto Geral das Guardas Municipais,B
680,Estatuto Geral das Guardas Municipais,D
681,Estatuto Geral das Guardas Municipais,D
682,Estatuto Geral das Guardas Municipais,A
683,Estatuto Geral das Guardas Municipais,A
684,Estatuto Geral das Guardas Municipais,C
685,Estatuto Geral das Guardas Municipais,C
686,Estatuto Geral das Guardas Municipais,D
687,Estatuto Geral das Guardas Municipais,A
688,Estatuto Geral das Guardas Municipais,C
689,Estatuto Geral das Guardas Municipais,B
690,Estatuto Geral das Guardas Municipais,C
691,Estatuto Geral das Guardas Municipais,A
692,Estatuto Geral das Guardas Municipais,A
693,Estatuto Geral das Guardas Municipais,D
694,Estatuto Geral das Guardas Municipais,B
695,Estatuto Geral das Guardas Municipais,B
696,Estatuto Geral das Guardas Municipais,C
697,Estatuto Geral das Guardas Municipais,B
698,Estatuto Geral das Guardas Municipais,D
699,Estatuto Geral das Guardas Municipais,C
700,Estatuto Geral das Guardas Municipais,A
701,Estatuto Geral das Guardas Municipais,B
702,Estatuto Geral das Guardas Municipais,B
703,Estatuto Geral das Guardas Municipais,A
704,Estatuto Geral das Guardas Municipais,B
705,Estatuto Geral das Guardas Municipais,D
706,Estatuto Geral das Guardas Municipais,A
707,Estatuto Geral das Guardas Municipais,B
708,Estatuto Geral das Guardas Municipais,A
709,Estatuto Geral das Guardas Municipais,D
710,Estatuto Geral das Guardas Municipais,B
711,Estatuto Geral das Guardas Municipais,A
712,Estatuto Geral das Guardas Municipais,D
713,Estatuto Geral das Guardas Municipais,C
714,Estatuto Geral das Guardas Municipais,C
715,Estatuto Geral das Guardas Municipais,B
716,Estatuto Geral das Guardas Municipais,D
717,Estatuto Geral das Guardas Municipais,B
718,Estatuto Geral das Guardas Municipais,B
719,Estatuto Geral das Guardas Municipais,D
720,Estatuto Geral das Guardas Municipais,B
721,Estatuto Geral das Guardas Municipais,A
722,Estatuto Geral das Guardas Municipais,A
723,Estatuto Geral das Guardas Municipais,D
724,Estatuto Geral das Guardas Municipais,B
725,Estatuto Geral das Guardas Municipais,B
726,Estatuto Geral das Guardas Municipais,C
727,Estatuto Geral das Guardas Municipais,B
728,Estatuto Geral das Guardas Municipais,D
729,Estatuto Geral das Guardas Municipais,D
730,Estatuto Geral das Guardas Municipais,C
731,Estatuto Geral das Guardas Municipais,A
732,Estatuto Geral das Guardas Municipais,B
733,Estatuto Geral das Guardas Municipais,D
734,Estatuto Geral das Guardas Municipais,D
735,Estatuto Geral das Guardas Municipais,A
736,Estatuto Geral das Guardas Municipais,D
737,Estatuto Geral das Guardas Municipais,B
738,Estatuto Geral das Guardas Municipais,B
739,Estatuto Geral das Guardas Municipais,C
740,Estatuto Geral das Guardas Municipais,A
741,Estatuto Geral das Guardas Municipais,D
742,Estatuto Geral das Guardas Municipais,A
743,Estatuto Geral das Guardas Municipais,B
744,Estatuto Geral das Guardas Municipais,D
745,Estatuto Geral das Guardas Municipais,C
746,Estatuto Geral das Guardas Municipais,A
747,Estatuto Geral das Guardas Municipais,A
748,Estatuto Geral das Guardas Municipais,C
749,Estatuto Geral das Guardas Municipais,D
750,Estatuto Geral das Guardas Municipais,D
751,Estatuto Geral das Guardas Municipais,C
752,Estatuto Geral das Guardas Municipais,C
753,Estatuto Geral das Guardas Municipais,D
754,Estatuto Geral das Guardas Municipais,B
755,Estatuto Geral das Guardas Municipais,C
756,Estatuto Geral das Guardas Municipais,C
757,Estatuto Geral das Guardas Municipais,A
758,Estatuto Geral das Guardas Municipais,D
759,Estatuto Geral das Guardas Municipais,C
760,Estatuto Geral das Guardas Municipais,D
761,Estatuto Geral das Guardas Municipais,D
762,Estatuto Geral das Guardas Municipais,B
763,Estatuto Geral das Guardas Municipais,B
764,Estatuto Geral das Guardas Municipais,A
765,Estatuto Geral das Guardas Municipais,A
766,Estatuto Geral das Guardas Municipais,C
767,Estatuto Geral das Guardas Municipais,B
768,Estatuto Geral das Guardas Municipais,D
769,Estatuto Geral das Guardas Municipais,C
770,Estatuto Geral das Guardas Municipais,D
771,Estatuto Geral das Guardas Municipais,C
